"community_cards","current_street","encoded_actions","final_pot","final_stack","game_number","hand_name","hand_value","hole_cards","initial_seats","initial_stack","player_name","pot","round_count","street","uuid","win_rate","won_hand","action_1_type","action_1_amount","action_1_street","action_1_player","action_1_pot","action_1_bet_percentage","action_1_encoded_past_actions","action_2_type","action_2_amount","action_2_street","action_2_player","action_2_pot","action_2_bet_percentage","action_2_encoded_past_actions","action_3_type","action_3_amount","action_3_street","action_3_player","action_3_pot","action_3_bet_percentage","action_3_encoded_past_actions","action_4_type","action_4_amount","action_4_street","action_4_player","action_4_pot","action_4_bet_percentage","action_4_encoded_past_actions","action_5_type","action_5_amount","action_5_street","action_5_player","action_5_pot","action_5_bet_percentage","action_5_encoded_past_actions","action_6_type","action_6_amount","action_6_street","action_6_player","action_6_pot","action_6_bet_percentage","action_6_encoded_past_actions","action_7_type","action_7_amount","action_7_street","action_7_player","action_7_pot","action_7_bet_percentage","action_7_encoded_past_actions","action_8_type","action_8_amount","action_8_street","action_8_player","action_8_pot","action_8_bet_percentage","action_8_encoded_past_actions","action_9_type","action_9_amount","action_9_street","action_9_player","action_9_pot","action_9_bet_percentage","action_9_encoded_past_actions","action_10_type","action_10_amount","action_10_street","action_10_player","action_10_pot","action_10_bet_percentage","action_10_encoded_past_actions","action_11_type","action_11_amount","action_11_street","action_11_player","action_11_pot","action_11_bet_percentage","action_11_encoded_past_actions","action_12_type","action_12_amount","action_12_street","action_12_player","action_12_pot","action_12_bet_percentage","action_12_encoded_past_actions","action_13_type","action_13_amount","action_13_street","action_13_player","action_13_pot","action_13_bet_percentage","action_13_encoded_past_actions","action_14_type","action_14_amount","action_14_street","action_14_player","action_14_pot","action_14_bet_percentage","action_14_encoded_past_actions","action_15_type","action_15_amount","action_15_street","action_15_player","action_15_pot","action_15_bet_percentage","action_15_encoded_past_actions","action_16_type","action_16_amount","action_16_street","action_16_player","action_16_pot","action_16_bet_percentage","action_16_encoded_past_actions","action_17_type","action_17_amount","action_17_street","action_17_player","action_17_pot","action_17_bet_percentage","action_17_encoded_past_actions","action_18_type","action_18_amount","action_18_street","action_18_player","action_18_pot","action_18_bet_percentage","action_18_encoded_past_actions","action_19_type","action_19_amount","action_19_street","action_19_player","action_19_pot","action_19_bet_percentage","action_19_encoded_past_actions","action_20_type","action_20_amount","action_20_street","action_20_player","action_20_pot","action_20_bet_percentage","action_20_encoded_past_actions","action_21_type","action_21_amount","action_21_street","action_21_player","action_21_pot","action_21_bet_percentage","action_21_encoded_past_actions","action_22_type","action_22_amount","action_22_street","action_22_player","action_22_pot","action_22_bet_percentage","action_22_encoded_past_actions","action_23_type","action_23_amount","action_23_street","action_23_player","action_23_pot","action_23_bet_percentage","action_23_encoded_past_actions","action_24_type","action_24_amount","action_24_street","action_24_player","action_24_pot","action_24_bet_percentage","action_24_encoded_past_actions","action_25_type","action_25_amount","action_25_street","action_25_player","action_25_pot","action_25_bet_percentage","action_25_encoded_past_actions","action_26_type","action_26_amount","action_26_street","action_26_player","action_26_pot","action_26_bet_percentage","action_26_encoded_past_actions","action_27_type","action_27_amount","action_27_street","action_27_player","action_27_pot","action_27_bet_percentage","action_27_encoded_past_actions","action_28_type","action_28_amount","action_28_street","action_28_player","action_28_pot","action_28_bet_percentage","action_28_encoded_past_actions","action_29_type","action_29_amount","action_29_street","action_29_player","action_29_pot","action_29_bet_percentage","action_29_encoded_past_actions","action_30_type","action_30_amount","action_30_street","action_30_player","action_30_pot","action_30_bet_percentage","action_30_encoded_past_actions","action_31_type","action_31_amount","action_31_street","action_31_player","action_31_pot","action_31_bet_percentage","action_31_encoded_past_actions","action_32_type","action_32_amount","action_32_street","action_32_player","action_32_pot","action_32_bet_percentage","action_32_encoded_past_actions","action_33_type","action_33_amount","action_33_street","action_33_player","action_33_pot","action_33_bet_percentage","action_33_encoded_past_actions","action_34_type","action_34_amount","action_34_street","action_34_player","action_34_pot","action_34_bet_percentage","action_34_encoded_past_actions","action_35_type","action_35_amount","action_35_street","action_35_player","action_35_pot","action_35_bet_percentage","action_35_encoded_past_actions","action_36_type","action_36_amount","action_36_street","action_36_player","action_36_pot","action_36_bet_percentage","action_36_encoded_past_actions","action_37_type","action_37_amount","action_37_street","action_37_player","action_37_pot","action_37_bet_percentage","action_37_encoded_past_actions","action_38_type","action_38_amount","action_38_street","action_38_player","action_38_pot","action_38_bet_percentage","action_38_encoded_past_actions","action_39_type","action_39_amount","action_39_street","action_39_player","action_39_pot","action_39_bet_percentage","action_39_encoded_past_actions","action_40_type","action_40_amount","action_40_street","action_40_player","action_40_pot","action_40_bet_percentage","action_40_encoded_past_actions","action_41_type","action_41_amount","action_41_street","action_41_player","action_41_pot","action_41_bet_percentage","action_41_encoded_past_actions","action_42_type","action_42_amount","action_42_street","action_42_player","action_42_pot","action_42_bet_percentage","action_42_encoded_past_actions","action_43_type","action_43_amount","action_43_street","action_43_player","action_43_pot","action_43_bet_percentage","action_43_encoded_past_actions","action_44_type","action_44_amount","action_44_street","action_44_player","action_44_pot","action_44_bet_percentage","action_44_encoded_past_actions","action_45_type","action_45_amount","action_45_street","action_45_player","action_45_pot","action_45_bet_percentage","action_45_encoded_past_actions","action_46_type","action_46_amount","action_46_street","action_46_player","action_46_pot","action_46_bet_percentage","action_46_encoded_past_actions","action_47_type","action_47_amount","action_47_street","action_47_player","action_47_pot","action_47_bet_percentage","action_47_encoded_past_actions","action_48_type","action_48_amount","action_48_street","action_48_player","action_48_pot","action_48_bet_percentage","action_48_encoded_past_actions","action_49_type","action_49_amount","action_49_street","action_49_player","action_49_pot","action_49_bet_percentage","action_49_encoded_past_actions","action_50_type","action_50_amount","action_50_street","action_50_player","action_50_pot","action_50_bet_percentage","action_50_encoded_past_actions"
"H9,CK,SA,C4","river","2313433784110","2000","0","1","","","C6,S6","[{'name': 'GTO_Player1', 'uuid': 'nxsberzgnnljdcaiszqadi', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'purnqxvybxydfprkrcubwj', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","1450","1","turn","nxsberzgnnljdcaiszqadi","0.52","0","raise","30","preflop","purnqxvybxydfprkrcubwj","40","66.66666666666666","2246","raise","50","preflop","nxsberzgnnljdcaiszqadi","80","52.63157894736842","22715","raise","70","preflop","purnqxvybxydfprkrcubwj","120","42.42424242424242","229414","raise","90","preflop","nxsberzgnnljdcaiszqadi","160","35.294117647058826","2294403","raise","110","preflop","purnqxvybxydfprkrcubwj","200","30.136986301369863","22946293","raise","130","preflop","nxsberzgnnljdcaiszqadi","240","26.262626262626267","229463202","raise","150","preflop","purnqxvybxydfprkrcubwj","280","23.25581395348837","2294634292","call","150","preflop","nxsberzgnnljdcaiszqadi","300","0.0","22946343090","raise","300","flop","purnqxvybxydfprkrcubwj","600","27.77777777777778","229463433682","call","300","flop","nxsberzgnnljdcaiszqadi","900","0.0","2294634337500","raise","550","turn","purnqxvybxydfprkrcubwj","1450","28.497409326424872","486343378292","call","550","turn","nxsberzgnnljdcaiszqadi","2000","0.0","2313433784110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","2178400","40","1020","1","","","D5,C4","[{'name': 'GTO_Player1', 'uuid': 'yztzzvrpjjsxesdjhcrqzh', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'nskiyzpztnugcvadzlxtqx', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","yztzzvrpjjsxesdjhcrqzh","0.36","1","call","10","preflop","nskiyzpztnugcvadzlxtqx","20","0.0","2130","raise","20","preflop","yztzzvrpjjsxesdjhcrqzh","30","57.14285714285714","21545","call","20","preflop","nskiyzpztnugcvadzlxtqx","40","0.0","217590","fold","0","flop","nskiyzpztnugcvadzlxtqx","40","0.0","2178400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'bzacgevbikdmqflpmjtgbo', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'qddeyttacaeghjcvrwlbpi', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","bzacgevbikdmqflpmjtgbo","","1","fold","0","preflop","qddeyttacaeghjcvrwlbpi","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'flzquhyyhpwutuhmstllxr', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'zpfsfqoqimmuvxeqrfjtli', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","flzquhyyhpwutuhmstllxr","","1","fold","0","preflop","zpfsfqoqimmuvxeqrfjtli","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","D8,D5","[{'name': 'GTO_Player1', 'uuid': 'tkpqrbfchdzeaitagadqqr', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pyxnxlheeifllopzoqtful', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","tkpqrbfchdzeaitagadqqr","0.47","1","call","10","preflop","pyxnxlheeifllopzoqtful","20","0.0","2130","call","10","preflop","tkpqrbfchdzeaitagadqqr","20","0.0","21430","fold","0","flop","pyxnxlheeifllopzoqtful","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'mtwzqjaheltfbuucxzmsez', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pxeziocvyesbzmyvcsqgst', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","mtwzqjaheltfbuucxzmsez","","1","fold","0","preflop","pxeziocvyesbzmyvcsqgst","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","S8,C8","[{'name': 'GTO_Player1', 'uuid': 'dotzgywfvmetnbchkukxjd', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pladyhlljtuhbryipzpkzf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","dotzgywfvmetnbchkukxjd","0.69","1","call","10","preflop","pladyhlljtuhbryipzpkzf","20","0.0","2130","call","10","preflop","dotzgywfvmetnbchkukxjd","20","0.0","21430","fold","0","flop","pladyhlljtuhbryipzpkzf","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","C7,S4","[{'name': 'GTO_Player1', 'uuid': 'hgallfbtofzqsklvifprze', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'hmmcrajvtqaibyklzudzlb', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","hgallfbtofzqsklvifprze","0.37","0","call","10","preflop","hmmcrajvtqaibyklzudzlb","20","0.0","2130","fold","0","preflop","hgallfbtofzqsklvifprze","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'mldgdckqmzzlbknmbonksz', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'dmyreccetnfcmtbboqyuvk', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","mldgdckqmzzlbknmbonksz","","1","fold","0","preflop","dmyreccetnfcmtbboqyuvk","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ehfenivcwbtjecdhnjdkxr', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jglkucjakcdzgeoqhjchfo', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ehfenivcwbtjecdhnjdkxr","","1","fold","0","preflop","jglkucjakcdzgeoqhjchfo","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'gfrlattwksbxuotlydrdet', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'dwacvvfcyahivtutdgnvkr', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","gfrlattwksbxuotlydrdet","","1","fold","0","preflop","dwacvvfcyahivtutdgnvkr","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQ,CQ,H2","flop","415330214120","1380","1570","1","","","D7,HA","[{'name': 'GTO_Player1', 'uuid': 'ncfqxfcbbkcumzallakeis', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'cmzfiowggpzerdzvlutrtl', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","900","1","flop","ncfqxfcbbkcumzallakeis","0.55","1","call","10","preflop","cmzfiowggpzerdzvlutrtl","20","0.0","2130","call","10","preflop","ncfqxfcbbkcumzallakeis","20","0.0","21430","raise","20","flop","cmzfiowggpzerdzvlutrtl","40","100.0","217049","raise","40","flop","ncfqxfcbbkcumzallakeis","80","66.66666666666666","2171246","raise","80","flop","cmzfiowggpzerdzvlutrtl","140","57.14285714285714","21715225","raise","120","flop","ncfqxfcbbkcumzallakeis","220","46.15384615384615","217153014","raise","220","flop","cmzfiowggpzerdzvlutrtl","360","45.83333333333333","2171532914","raise","320","flop","ncfqxfcbbkcumzallakeis","560","40.0","21715329924","raise","560","flop","cmzfiowggpzerdzvlutrtl","900","41.17647058823529","217153302034","raise","800","flop","ncfqxfcbbkcumzallakeis","1380","37.03703703703704","2171533021133","raise","-1","flop","cmzfiowggpzerdzvlutrtl","1380","0.0","415330214120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'pbnbwcmcohubrwradtwrog', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'reechrtewlpjbcecfhxiud', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","pbnbwcmcohubrwradtwrog","","1","fold","0","preflop","reechrtewlpjbcecfhxiud","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
